K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00214,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K00215,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00215,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K00216,1053,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of siderophore group nonribosomal peptides 
K00217,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K00217,623,Metabolism ,Xenobiotics biodegradation and metabolism,Toluene degradation 
K00217,361,Metabolism ,Xenobiotics biodegradation and metabolism,Chlorocyclohexane and chlorobenzene degradation 
K00217,364,Metabolism ,Xenobiotics biodegradation and metabolism,Fluorobenzoate degradation 
K00218,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K00220,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K00220,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K00222,100,Metabolism ,Lipid metabolism,Steroid biosynthesis 
K00226,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00227,100,Metabolism ,Lipid metabolism,Steroid biosynthesis 
K00228,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K00230,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K00231,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K00232,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00232,3320,Organismal Systems,Endocrine system,PPAR signaling pathway 
K00232,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00232,1040,Metabolism ,Lipid metabolism,Biosynthesis of unsaturated fatty acids 
K00232,592,Metabolism ,Lipid metabolism,alpha-Linolenic acid metabolism 
K00232,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00232,4024,Environmental Information Processing,Signal transduction,cAMP signaling pathway 
K00232,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00239,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00239,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00239,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00239,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00239,5134,Human Diseases,Infectious disease: bacterial ,Legionellosis 
K00240,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00240,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00240,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00240,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00241,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00241,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00241,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00241,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00242,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00242,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00242,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00242,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00244,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00244,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00244,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00244,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00244,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00244,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00245,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00245,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00245,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00245,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00245,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00245,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00246,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00246,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00246,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00246,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00246,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00246,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00247,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00247,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00247,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00247,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00247,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00247,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00248,280,Metabolism ,Amino acid metabolism ,Valine
K00248,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00248,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00248,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00248,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00249,280,Metabolism ,Amino acid metabolism ,Valine
K00249,3320,Organismal Systems,Endocrine system,PPAR signaling pathway 
K00249,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00252,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00252,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K00252,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00252,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K00253,280,Metabolism ,Amino acid metabolism ,Valine
K00254,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K00255,3320,Organismal Systems,Endocrine system,PPAR signaling pathway 
K00255,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00259,250,Metabolism ,Amino acid metabolism ,Alanine
K00259,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K00260,250,Metabolism ,Amino acid metabolism ,Alanine
K00260,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00260,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00260,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K00261,250,Metabolism ,Amino acid metabolism ,Alanine
K00261,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00261,4217,Cellular Processes ,Cell growth and death,Necroptosis 
K00261,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00261,4964,Organismal Systems,Excretory system ,Proximal tubule bicarbonate reclamation 
K00261,471,Metabolism ,Metabolism of other amino acids,D-Glutamine and D-glutamate metabolism 
K00262,250,Metabolism ,Amino acid metabolism ,Alanine
K00262,220,Metabolism ,Amino acid metabolism ,Arginine biosynthesis 
K00262,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00263,280,Metabolism ,Amino acid metabolism ,Valine
K00263,290,Metabolism ,Amino acid metabolism ,Valine
K00265,250,Metabolism ,Amino acid metabolism ,Alanine
K00265,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00266,250,Metabolism ,Amino acid metabolism ,Alanine
K00266,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00270,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00270,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K00270,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00271,280,Metabolism ,Amino acid metabolism ,Valine
K00273,260,Metabolism ,Amino acid metabolism ,Glycine
K00273,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00273,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K00273,472,Metabolism ,Metabolism of other amino acids,D-Arginine and D-ornithine metabolism 
K00273,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00274,260,Metabolism ,Amino acid metabolism ,Glycine
K00274,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00274,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00274,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00274,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K00274,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K00274,950,Metabolism ,Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis 
K00274,4728,Organismal Systems,Nervous system,Dopaminergic synapse 
K00274,4726,Organismal Systems,Nervous system,Serotonergic synapse 
K00274,5012,Human Diseases,Neurodegenerative disease,Parkinson disease 
K00274,5031,Human Diseases,Substance dependence,Amphetamine addiction 
K00274,5034,Human Diseases,Substance dependence,Alcoholism 
K00274,5030,Human Diseases,Substance dependence,Cocaine addiction 
K00274,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K00275,750,Metabolism ,Metabolism of cofactors and vitamins,Vitamin B6 metabolism 
K00276,260,Metabolism ,Amino acid metabolism ,Glycine
K00276,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00276,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00276,960,Metabolism ,Biosynthesis of other secondary metabolites,Tropane
K00276,950,Metabolism ,Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis 
K00276,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00278,250,Metabolism ,Amino acid metabolism ,Alanine
K00278,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00281,260,Metabolism ,Amino acid metabolism ,Glycine
K00281,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00282,260,Metabolism ,Amino acid metabolism ,Glycine
K00282,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00283,260,Metabolism ,Amino acid metabolism ,Glycine
K00283,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00284,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00284,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00285,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K00286,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00287,1523,Human Diseases,Drug resistance: antineoplastic,Antifolate resistance 
K00287,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K00287,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K00288,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K00289,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K00290,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00290,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00293,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00293,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00294,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00294,250,Metabolism ,Amino acid metabolism ,Alanine
K00297,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K00297,670,Metabolism ,Metabolism of cofactors and vitamins,One carbon pool by folate 
K00299,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00299,740,Metabolism ,Metabolism of cofactors and vitamins,Riboflavin metabolism 
K00301,260,Metabolism ,Amino acid metabolism ,Glycine
K00302,260,Metabolism ,Amino acid metabolism ,Glycine
K00303,260,Metabolism ,Amino acid metabolism ,Glycine
K00304,260,Metabolism ,Amino acid metabolism ,Glycine
K00305,260,Metabolism ,Amino acid metabolism ,Glycine
K00306,260,Metabolism ,Amino acid metabolism ,Glycine
K00306,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00306,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K00315,260,Metabolism ,Amino acid metabolism ,Glycine
K00316,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00316,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K00317,680,Metabolism ,Energy metabolism,Methane metabolism 
K00318,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K00319,680,Metabolism ,Energy metabolism,Methane metabolism 
K00320,680,Metabolism ,Energy metabolism,Methane metabolism 
K00322,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00324,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00325,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K00330,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00331,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00332,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00333,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00334,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00335,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00336,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00337,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00338,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00339,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00340,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00341,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00342,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00343,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K00355,5200,Human Diseases,Cancer: overview ,Pathways in cancer 
K00355,5225,Human Diseases,Cancer: specific types ,Hepatocellular carcinoma 
K00355,5418,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis 
K00355,130,Metabolism ,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis 
K00360,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00362,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00363,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00364,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00365,232,Metabolism ,Biosynthesis of other secondary metabolites,Caffeine metabolism 
K00365,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K00366,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00367,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00368,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00370,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00370,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00371,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00371,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00372,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00373,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00374,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00374,2020,Environmental Information Processing,Signal transduction,Two-component system 
K00376,910,Metabolism ,Energy metabolism,Nitrogen metabolism 
K00380,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00381,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00382,260,Metabolism ,Amino acid metabolism ,Glycine
K00382,280,Metabolism ,Amino acid metabolism ,Valine
K00382,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K00382,380,Metabolism ,Amino acid metabolism ,Tryptophan metabolism 
K00382,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00382,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00382,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00382,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00382,20,Metabolism ,Carbohydrate metabolism,Citrate cycle (TCA cycle) 
K00383,5415,Human Diseases,Cardiovascular disease,Diabetic cardiomyopathy 
K00383,4918,Organismal Systems,Endocrine system,Thyroid hormone synthesis 
K00383,480,Metabolism ,Metabolism of other amino acids,Glutathione metabolism 
K00384,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K00385,920,Metabolism ,Energy metabolism,Sulfur metabolism 
K00387,920,Metabolism ,Energy metabolism,Sulfur metabolism 
